Categorie,Subcategorie,Rekening,Omschrijving,Boekjaar, Bedrag , OOP Breaburn , OOP Delcorf , OOP Elstar , OOP Golden , OOP Joly-Red , OOP Jonagold , OOP Jonagored , OOP Junami , OOP kroet/industrie appels , OOP Milwa ,Bedrag Genormaliseerd
Aanvoer,Opbrengsten,Omzet,Productomzet,2010,-191777.99,,,,,,,,,,,191777.99
Aanvoer,Balans,Fust,Fust eenmalig,2010,-6914.37,,,,,,,,,,,6914.37
Aanvoer,Balans,Fust,Fust meermalig,2010,-90708.90,,,,,,,,,,,90708.90
Aanvoer,Balans,Fust,Fust huur terugbet.,2010,-2783.05,,,,,,,,,,,2783.05
Aanvoer,Balans,Verpakking,Verpakkingskosten,2010,-1302.28,,,,,,,,,,,1302.28
Aanvoer,Balans,Pallet,Pallet eenmalig,2010,-630.18,,,,,,,,,,,630.18
Aanvoer,Balans,Pallet,Pallet meermalig,2010,-2694.78,,,,,,,,,,,2694.78
Aanvoer,Kosten,Productheffing,Productheffing,2010,2019.23,0.00,0.00,842.71,227.89,0.00,17.61,356.74,260.37,285.10,28.81,2019.23
Aanvoer,Kosten,Provisie,Provisie lid,2010,8073.67,0.00,0.00,3369.47,911.21,0.00,70.40,1426.39,1041.06,1139.94,115.20,8073.67
Aanvoer,Kosten,Royalty Junami,Royaltykst Junami,2010,303.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,303.19,0.00,0.00,303.19
Aanvoer,Kosten,Promotie Junami,Promotiekst Junami,2010,1818.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1818.81,0.00,0.00,1818.81
Aanvoer,Kosten,Productheffing Junami,Heffingskst Junami,2010,1515.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1515.73,0.00,0.00,1515.73
Fust,Balans,Fust,Fust m.m. Ingel. Aanvo.,2010,101834.11,,,,,,,,,,,101834.11
Kosten,Balans,Voorschot Junami,Voorschot Junami,2010,17850.00,,,,,,,,,,,17850.00
Kosten,Kosten,Administratie,Aanvoerboek,2010,18.16,0.00,0.00,7.58,2.05,0.00,0.16,3.21,2.34,2.56,0.26,18.16
Kosten,Kosten,Administratie,Administratiekosten,2010,56.50,0.00,0.00,23.58,6.38,0.00,0.49,9.98,7.29,7.98,0.81,56.50
Kosten,Kosten,Analyse,Analysekosten,2010,150.00,0.00,0.00,62.60,16.93,0.00,1.31,26.50,19.34,21.18,2.14,150.00
Kosten,Kosten,Preventie,Crisispreventie,2010,955.79,0.00,0.00,398.89,107.87,0.00,8.33,168.86,123.24,134.95,13.64,955.79
Kosten,Kosten,Fust,Fustbon,2010,0.23,0.00,0.00,0.10,0.03,0.00,0.00,0.04,0.03,0.03,0.00,0.23
Kosten,Kosten,Koelen,Koelloon,2010,10657.92,0.00,0.00,5179.25,1400.63,0.00,108.22,2192.52,1600.22,0.00,177.08,10657.92
Kosten,Kosten,Algemeen Junami,Kosten Junami,2010,1722.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1722.51,0.00,0.00,1722.51
Kosten,Kosten,Algemeen,Onvoorziene kosten,2010,449.51,0.00,0.00,187.60,50.73,0.00,3.92,79.42,57.96,63.47,6.41,449.51
Kosten,Opbrengsten,Bonus,Resultaatbonus,2010,-3257.52,,,,,,,,,,,3257.52
Kosten,Kosten,Sorteren,Sorteerkosten,2010,6733.76,0.00,0.00,3272.29,884.93,0.00,68.37,1385.25,1011.03,0.00,111.88,6733.76
Kosten,Balans,Etiketteren,Stikkeren,2010,-733.80,,,,,,,,,,,733.80
Kosten,Kosten,Algemeen,Touw,2010,53.75,0.00,0.00,22.43,6.07,0.00,0.47,9.50,6.93,7.59,0.77,53.75
Kosten,Kosten,Zorgsystemen,Zorgsystemen,2010,250.00,0.00,0.00,104.34,28.22,0.00,2.18,44.17,32.24,35.30,3.57,250.00
Kosten,Balans,BTW,BTW,2010,-9229.21,,,,,,,,,,,9229.21
Aanvoer,Opbrengsten,Omzet,Productomzet,2011,-151790.75,,,,,,,,,,,151790.75
Aanvoer,Balans,Fust,Fust eenmalig,2011,-6136.23,,,,,,,,,,,6136.23
Aanvoer,Balans,Fust,Fust meermalig,2011,-43148.40,,,,,,,,,,,43148.40
Aanvoer,Balans,Fust,Fust huur terugbet.,2011,-2802.35,,,,,,,,,,,2802.35
Aanvoer,Balans,Verpakking,Verpakkingskosten,2011,-953.80,,,,,,,,,,,953.80
Aanvoer,Balans,Pallet,Pallet eenmalig,2011,-890.12,,,,,,,,,,,890.12
Aanvoer,Balans,Pallet,Pallet meermalig,2011,-2109.55,,,,,,,,,,,2109.55
Aanvoer,Kosten,Productheffing,Productheffing,2011,1183.42,0.00,1.03,267.92,151.57,0.00,212.30,48.90,174.72,300.03,26.96,1183.42
Aanvoer,Kosten,Provisie,Provisie lid,2011,6674.08,0.00,5.79,1510.98,854.79,0.00,1197.30,275.75,985.34,1692.07,152.06,6674.08
Aanvoer,Kosten,Royalty Junami,Royaltykst Junami,2011,234.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,234.02,0.00,0.00,234.02
Aanvoer,Kosten,Promotie Junami,Promotiekst Junami,2011,1404.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1404.03,0.00,0.00,1404.03
Aanvoer,Kosten,Productheffing Junami,Heffingskst Junami,2011,1170.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1170.03,0.00,0.00,1170.03
Fust,Balans,Fust,Fust m.m. Ingel. Aanvo.,2011,58813.34,,,,,,,,,,,58813.34
Kosten,Balans,Voorschot Junami,Voorschot Junami,2011,17820.00,,,,,,,,,,,17820.00
Kosten,Kosten,Administratie,Aanvoerboek,2011,9.08,0.00,0.01,2.06,1.16,0.00,1.63,0.38,1.34,2.30,0.21,9.08
Kosten,Kosten,Administratie,Administratiekosten,2011,48.59,0.00,0.04,11.00,6.22,0.00,8.72,2.01,7.17,12.32,1.11,48.59
Kosten,Kosten,Analyse,Analysekosten,2011,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Kosten,Preventie,Crisispreventie,2011,1082.17,0.00,0.94,245.00,138.60,0.00,194.14,44.71,159.77,274.36,24.66,1082.17
Kosten,Kosten,Fust,Fustbon,2011,0.46,0.00,0.00,0.10,0.06,0.00,0.08,0.02,0.07,0.12,0.01,0.46
Kosten,Kosten,Koelen,Koelloon,2011,13225.26,0.00,15.37,4011.05,2269.13,0.00,3178.35,732.02,2615.68,0.00,403.66,13225.26
Kosten,Kosten,Algemeen Junami,Kosten Junami,2011,-1065.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1065.83,0.00,0.00,1065.83
Kosten,Kosten,Algemeen,Onvoorziene kosten,2011,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Opbrengsten,Bonus,Resultaatbonus,2011,0.00,,,,,,,,,,,0.00
Kosten,Kosten,Sorteren,Sorteerkosten,2011,8303.88,0.00,9.65,2518.46,1424.74,0.00,1995.62,459.62,1642.33,0.00,253.45,8303.88
Kosten,Balans,Etiketteren,Stikkeren,2011,0.00,,,,,,,,,,,0.00
Kosten,Kosten,Algemeen,Touw/diverse,2011,349.50,0.00,0.30,79.13,44.76,0.00,62.70,14.44,51.60,88.61,7.96,349.50
Kosten,Kosten,Zorgsystemen,Zorgsystemen,2011,250.00,0.00,0.22,56.60,32.02,0.00,44.85,10.33,36.91,63.38,5.70,250.00
Kosten,Balans,BTW,BTW,2011,-6592.20,,,,,,,,,,,6592.20
Kosten,Kosten,Vracht,vrachtkosten,2011,3168.50,0.00,2.75,717.33,405.81,0.00,568.41,130.91,467.79,803.30,72.19,3168.50
Aanvoer,Opbrengsten,Omzet,Productomzet,2012,-278008.48,,,,,,,,,,,278008.48
Aanvoer,Balans,Fust,Fust eenmalig,2012,-4063.15,,,,,,,,,,,4063.15
Aanvoer,Balans,Fust,Fust meermalig,2012,-141336.62,,,,,,,,,,,141336.62
Aanvoer,Balans,Fust,Fust huur terugbet.,2012,-5358.18,,,,,,,,,,,5358.18
Aanvoer,Balans,Verpakking,Verpakkingskosten,2012,-960.00,,,,,,,,,,,960.00
Aanvoer,Balans,Pallet,Pallet eenmalig,2012,-999.95,,,,,,,,,,,999.95
Aanvoer,Balans,Pallet,Pallet meermalig,2012,-3524.99,,,,,,,,,,,3524.99
Aanvoer,Kosten,Productheffing,Productheffing,2012,2432.87,0.00,4.41,1168.19,248.16,0.00,125.95,176.61,346.39,309.41,53.74,2432.87
Aanvoer,Kosten,Provisie,Provisie lid,2012,10836.24,0.00,19.66,5203.25,1105.32,0.00,560.99,786.65,1542.87,1378.13,239.37,10836.24
Aanvoer,Kosten,Royalty Junami,Royaltykst Junami,2012,396.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,396.84,0.00,0.00,396.84
Aanvoer,Kosten,Promotie Junami,Promotiekst Junami,2012,2182.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2182.43,0.00,0.00,2182.43
Aanvoer,Kosten,Productheffing Junami,Heffingskst Junami,2012,1785.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1785.62,0.00,0.00,1785.62
Fust,Balans,Fust,Fust m.m. Ingel. Aanvo.,2012,182236.11,,,,,,,,,,,182236.11
Kosten,Balans,Voorschot Junami,Voorschot Junami,2012,22575.00,,,,,,,,,,,22575.00
Kosten,Kosten,Administratie,Aanvoerboek,2012,18.16,0.00,0.03,8.72,1.85,0.00,0.94,1.32,2.59,2.31,0.40,18.16
Kosten,Kosten,Administratie,Administratiekosten,2012,57.63,0.00,0.10,27.67,5.88,0.00,2.98,4.18,8.21,7.33,1.27,57.63
Kosten,Kosten,Analyse,Analysekosten,2012,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Kosten,Preventie,Crisispreventie,2012,1682.89,0.00,3.05,808.07,171.66,0.00,87.12,122.17,239.61,214.03,37.17,1682.89
Kosten,Kosten,Fust,Fustbon,2012,2.07,0.00,0.00,0.99,0.21,0.00,0.11,0.15,0.29,0.26,0.05,2.07
Kosten,Kosten,Koelen,Koelloon,2012,14418.72,0.00,29.96,7932.26,1685.05,0.00,855.22,1199.24,2352.07,0.00,364.91,14418.72
Kosten,Kosten,Algemeen Junami,Kosten Junami,2012,-17060.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17060.38,0.00,0.00,17060.38
