Omschrijving,Boekjaar, Loonkosten 
brutoloon,2010,13585.00
vergoeding premie ZVW,2010,942.00
sociale lasten,2010,650.00
brutoloon,2011,34086.00
vergoeding premie ZVW,2011,2609.00
sociale lasten,2011,2634.00
brutoloon,2012,22567.00
vergoeding premie ZVW,2012,1593.00
sociale lasten,2012,899.00
brutoloon,2013,27781.00
vergoeding premie ZVW,2013,2160.00
sociale lasten,2013,2415.00
brutoloon,2014,34974.00
vergoeding premie ZVW,2014,2608.00
sociale lasten,2014,3984.00
brutoloon,2015,48632.00
vergoeding premie ZVW,2015,3349.00
sociale lasten,2015,5009.00
brutoloon,2016,33096.00
vergoeding premie ZVW,2016,2190.00
sociale lasten,2016,3909.00
