boekjaar,ras,hoeveelheid (kg),omzet,prijs per kg
2010,Milwa,6709,1582.42,0.24
2010,Elstar,196224,82199.9,0.42
2010,Golden,53065,17030.83,0.32
2010,Jonagored,83067,29570.31,0.36
2010,Jonagold,4100,1633.8,0.4
2010,kroet/industrie appels,66385.3,6496.52,0.1
2010,Junami,60627,53264.02,0.88
2011,Milwa,7222.5,2976.43,0.41
2011,Elstar,71767,39141.24,0.55
2011,Golden,40600,20415.37,0.5
2011,Jonagored,56868,28508.65,0.5
2011,Jonagold,13097.5,2451.4,0.19
2011,kroet/industrie appels,80368,13457.96,0.17
2011,Delcorf,275,173.25,0.63
2011,Junami,46800.5,44666.39,0.95
2012,Milwa,12312,4570.01,0.37
2012,Elstar,267632,138378.18,0.52
2012,Golden,56853,23922.13,0.42
2012,Jonagored,40462,16744.97,0.41
2012,Jonagold,28855,15160.79,0.53
2012,kroet/industrie appels,70885,14129.81,0.2
2012,Delcorf,1011,537.63,0.53
2012,Junami,79358.3,64554.78,0.81
2013,Milwa,19226.5,9032.08,0.47
2013,Elstar,117042,80138.69,0.68
2013,Golden,53910,30008.88,0.56
2013,Jonagold,92560.5,57016.27,0.62
2013,kroet/industrie appels,68265,12489.4,0.18
2013,Junami,48320.2,49286.08,1.02
2014,Milwa,33148.5,10192.93,0.31
2014,Junami,74331.5,62495.73,0.84
2014,Elstar,147559,76671.92,0.52
2014,Golden,77219,36267.3,0.47
2014,Breaburn,431,167.57,0.39
2014,Jonagold,13114,4604.41,0.35
2014,kroet/industrie appels,247755,16469.99,0.07
2014,Delcorf,2640,1145.75,0.43
2015,Junami,121528,75991.16,0.63
2015,Milwa,43484,11395.24,0.26
2015,Joly-Red,28575,16419.77,0.57
2015,Elstar,94715,37655.65,0.4
2015,Golden,74309,26733.06,0.36
2015,kroet/industrie appels,103083,13271.22,0.13
2015,Delcorf,5845,3781.12,0.65
2016,Junami,155051,103763.11,0.67
2016,Milwa,32065,11304.77,0.35
2016,Joly-Red,98208,52560.26,0.54
2016,Elstar,145191,66651.98,0.46
2016,Golden,85606,28088.99,0.33
2016,kroet/industrie appels,215060,18741.96,0.09
2017,Junami,125290,90591.03,0.72
2017,Milwa,29959,10676.07,0.36
2017,Joly-Red,73822,42451.13,0.58
2017,Elstar,61808,33232.36,0.54
2017,Golden,74782,36197.38,0.48
2017,kroet/industrie appels,61636,9365.04,0.15
