Oogstdatum,Oogstjaar,Perceel,Ras,Tonnen,Koeling of,Datum laatste bespuiting,Middel en dosering/ha,Veiligheidstermijn (dgn.),Opmerkingen
28-Aug,2017,3,Elstar,2.1,Afgezet,11-Aug,"Bellis 0,8 kg/ha",7,
29-Aug,2017,3,Elstar,4.8,Afgezet,11-Aug,"Bellis 0,8 kg/ha",7,
30-Aug,2017,3,Elstar,4.8,Afgezet,11-Aug,"Bellis 0,8 kg/ha",7,
31-Aug,2017,3,Elstar,4.2,Afgezet,11-Aug,"Bellis 0,8 kg/ha",7,
02-Sep,2017,2b,Elstar,1.8,Koeling,11-Aug,"Bellis 0,8 kg/ha",7,
06-Sep,2017,2b,Elstar,4.5,Koeling,11-Aug,"Bellis 0,8 kg/ha",7,
07-Sep,2017,2b,Elstar,2.7,Koeling,11-Aug,"Bellis 0,8 kg/ha",7,
07-Sep,2017,3,Elstar,3,Koeling,11-Aug,"Bellis 0,8 kg/ha",7,
09-Sep,2017,2b,Golden,3.6,Koeling,11-Aug,"Bellis 0,8 kg/ha",7,
10-Sep,2017,2b,Golden,1.2,Koeling,11-Aug,"Bellis 0,8 kg/ha",7,
10-Sep,2017,2a,Golden,2.4,Koeling,29-Aug,"Bellis 0,8 kg/ha",7,
11-Sep,2017,3,Elstar,9.6,Koeling,11-Aug,"Bellis 0,8 kg/ha",7,
12-Sep,2017,3,Elstar,12,Koeling,11-Aug,"Bellis 0,8 kg/ha",7,
13-Sep,2017,3,Elstar,9.3,Koeling,11-Aug,"Bellis 0,8 kg/ha",7,
13-Sep,2017,2a,Golden,1.2,Koeling,29-Aug,"Bellis 0,8 kg/ha",7,
14-Sep,2017,2c,Golden,5.1,Koeling,23-Aug,"Captan 1,0 kg/ha",21,
14-Sep,2017,2a,Golden,3.9,Koeling,29-Aug,"Bellis 0,8 kg/ha",7,
15-Sep,2017,6,Golden,10.2,Koeling,03-Sep,"Bellis 0,8 kg/ha",7,
16-Sep,2017,5,Golden,5.7,Koeling,23-Aug,"Captan 1,0 kg/ha",21,
17-Sep,2017,3,Elstar,3.3,Koeling,11-Aug,"Bellis 0,8 kg/ha",7,
17-Sep,2017,"2ab,3,5,6",Kroet,0.9,Afgezet,29-Aug,"Bellis 0,8 kg/ha",7,
18-Sep,2017,4,Joly-Red,20.4,Koeling,03-Sep,"Bellis 0,8 kg/ha",7,
19-Sep,2017,4,Joly-Red,6.9,Koeling,03-Sep,"Bellis 0,8 kg/ha",7,
19-Sep,2017,4,Golden,1.5,Koeling,03-Sep,"Bellis 0,8 kg/ha",7,
19-Sep,2017,2b,Elstar,4.8,Koeling,11-Aug,"Bellis 0,8 kg/ha",7,
20-Sep,2017,2b,Elstar,11.1,Koeling,11-Aug,"Bellis 0,8 kg/ha",7,
20-Sep,2017,2a,Golden,3.6,Koeling,29-Aug,"Bellis 0,8 kg/ha",7,
21-Sep,2017,2b,Elstar,3,Koeling,11-Aug,"Bellis 0,8 kg/ha",7,
21-Sep,2017,2a,Golden,12,Koeling,29-Aug,"Bellis 0,8 kg/ha",7,
22-Sep,2017,2a,Golden,13.5,Koeling,29-Aug,"Bellis 0,8 kg/ha",7,
23-Sep,2017,2a,Golden,8.7,Koeling,29-Aug,"Bellis 0,8 kg/ha",7,
23-Sep,2017,"2ab,4",Kroet,1.8,Afgezet,29-Aug,"Bellis 0,8 kg/ha",7,
24-Sep,2017,2a,Golden,5.4,Koeling,29-Aug,"Bellis 0,8 kg/ha",7,
